Date,price_btc,price_spx,price_tech,ret_btc,ret_spx,ret_tech
,BTC-USD,^GSPC,QQQ,,,
2016-12-30,961.237976,2238.830078,111.568848,-0.012593,-0.004637,-0.010275
2017-01-03,1043.839966,2257.830078,112.566986,0.085933,0.008487,0.008946
2017-01-04,1154.729980,2270.750000,113.179070,0.106233,0.005722,0.005438
2017-01-05,1013.380005,2269.000000,113.819420,-0.122410,-0.000771,0.005658
2017-01-06,902.200989,2276.979980,114.817574,-0.109711,0.003517,0.008770
2017-01-09,902.828003,2268.899902,115.194260,0.000695,-0.003549,0.003281
2017-01-10,907.679016,2268.899902,115.448509,0.005373,0.000000,0.002207
2017-01-11,777.757019,2275.320068,115.759270,-0.143136,0.002830,0.002692
2017-01-12,804.833984,2270.439941,115.580315,0.034814,-0.002145,-0.001546
2017-01-13,823.984009,2274.639893,115.975845,0.023794,0.001850,0.003422
2017-01-17,907.937988,2267.889893,115.627419,0.101888,-0.002968,-0.003004
2017-01-18,886.617981,2271.889893,115.862846,-0.023482,0.001764,0.002036
2017-01-19,899.072998,2263.689941,115.806335,0.014048,-0.003609,-0.000488
2017-01-20,895.026001,2271.310059,116.060600,-0.004501,0.003366,0.002196
2017-01-23,921.012024,2265.199951,116.154739,0.029034,-0.002690,0.000811
2017-01-24,892.687012,2280.070068,116.936333,-0.030754,0.006565,0.006729
2017-01-25,901.541992,2298.370117,118.113419,0.009919,0.008026,0.010066
2017-01-26,917.585999,2296.679932,118.235840,0.017796,-0.000735,0.001036
2017-01-27,919.750000,2294.689941,118.461838,0.002358,-0.000866,0.001911
2017-01-30,920.382019,2280.899902,117.539001,0.000687,-0.006010,-0.007790
2017-01-31,970.403015,2278.870117,117.303596,0.054348,-0.000890,-0.002003
2017-02-01,989.023010,2279.550049,118.113419,0.019188,0.000298,0.006904
2017-02-02,1011.799988,2280.850098,118.009819,0.023030,0.000570,-0.000877
2017-02-03,1029.910034,2297.419922,118.348824,0.017899,0.007265,0.002873
2017-02-06,1038.150024,2292.560059,118.490089,0.008001,-0.002115,0.001194
2017-02-07,1061.349976,2293.080078,118.923248,0.022347,0.000227,0.003656
2017-02-08,1063.069946,2294.669922,119.121002,0.001621,0.000693,0.001663
2017-02-09,994.382996,2307.870117,119.554153,-0.064612,0.005753,0.003636
2017-02-10,988.674011,2316.100098,119.949661,-0.005741,0.003566,0.003308
2017-02-13,990.642029,2328.250000,120.627670,0.001991,0.005246,0.005652
2017-02-14,1004.549988,2337.580078,121.032562,0.014039,0.004007,0.003357
2017-02-15,1007.479980,2349.250000,121.748253,0.002917,0.004992,0.005913
2017-02-16,1027.439941,2347.219971,121.710594,0.019812,-0.000864,-0.000309
2017-02-17,1046.209961,2351.159912,122.237907,0.018269,0.001679,0.004333
2017-02-21,1115.300049,2365.379883,122.840614,0.066038,0.006048,0.004931
2017-02-22,1117.439941,2362.820068,122.887703,0.001919,-0.001082,0.000383
2017-02-23,1166.719971,2363.810059,122.426231,0.044101,0.000419,-0.003755
2017-02-24,1173.680054,2367.340088,122.661644,0.005966,0.001493,0.001923
2017-02-27,1179.969971,2369.750000,122.812355,0.005359,0.001018,0.001229
2017-02-28,1179.969971,2363.639893,122.435699,0.000000,-0.002578,-0.003067
2017-03-01,1222.500000,2395.959961,123.772842,0.036043,0.013674,0.010921
2017-03-02,1251.010010,2381.919922,123.151367,0.023321,-0.005860,-0.005021
2017-03-03,1274.989990,2383.120117,123.377342,0.019168,0.000504,0.001835
2017-03-06,1272.829956,2375.310059,123.104233,-0.001694,-0.003277,-0.002214
2017-03-07,1223.540039,2368.389893,122.897110,-0.038725,-0.002913,-0.001682
2017-03-08,1150.000000,2362.979980,123.113686,-0.060104,-0.002284,0.001762
2017-03-09,1188.489990,2364.870117,123.207825,0.033470,0.000800,0.000765
2017-03-10,1116.719971,2372.600098,123.725792,-0.060388,0.003269,0.004204
2017-03-13,1231.920044,2373.469971,123.932953,0.103159,0.000367,0.001674
2017-03-14,1240.000000,2365.449951,123.631592,0.006559,-0.003379,-0.002432
2017-03-15,1249.609985,2385.260010,124.394363,0.007750,0.008375,0.006170
2017-03-16,1187.810059,2381.379883,124.309593,-0.049455,-0.001627,-0.000681
2017-03-17,1100.229980,2378.250000,124.266190,-0.073732,-0.001314,-0.000349
2017-03-20,1054.229980,2373.469971,124.379387,-0.041809,-0.002010,0.000911
2017-03-21,1120.540039,2344.020020,122.492157,0.062899,-0.012408,-0.015173
2017-03-22,1049.140015,2348.449951,123.322563,-0.063719,0.001890,0.006779
2017-03-23,1038.589966,2345.959961,123.011154,-0.010056,-0.001060,-0.002525
2017-03-24,937.520020,2343.979980,123.265915,-0.097315,-0.000844,0.002071
2017-03-27,1045.770020,2341.590088,123.464088,0.115464,-0.001020,0.001608
2017-03-28,1047.150024,2358.570068,124.219009,0.001320,0.007251,0.006114
2017-03-29,1039.969971,2361.129883,124.794640,-0.006857,0.001085,0.004634
2017-03-30,1026.430054,2368.060059,125.002213,-0.013020,0.002935,0.001663
2017-03-31,1071.790039,2362.719971,124.917297,0.044192,-0.002255,-0.000679
2017-04-03,1143.810059,2358.840088,124.841805,0.067196,-0.001642,-0.000604
2017-04-04,1133.250000,2360.159912,125.039993,-0.009232,0.000560,0.001588
